Census Year,County,lat,lng,Type of Livestock,VALUE
2000,Laois,52.99429,-7.3323,Total cattle,1618.0
2000,Laois,52.99429,-7.3323,Dairy cows,100.0
2000,Laois,52.99429,-7.3323,Other cows,470.0
2000,Laois,52.99429,-7.3323,Total sheep,1034.0
2000,Laois,52.99429,-7.3323,Livestock Units (LSU),1175.7
2000,Longford,53.72536,-7.79823,Total cattle,1625.0
2000,Longford,53.72536,-7.79823,Dairy cows,0.0
2000,Longford,53.72536,-7.79823,Other cows,500.0
2000,Longford,53.72536,-7.79823,Total sheep,456.0
2000,Longford,53.72536,-7.79823,Livestock Units (LSU),1112.3
2000,Louth,53.94861,-6.54139,Total cattle,215.8
2000,Louth,53.94861,-6.54139,Dairy cows,0.0
2000,Louth,53.94861,-6.54139,Other cows,215.8
2000,Louth,53.94861,-6.54139,Total sheep,0.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),215.8
2000,Louth,53.94861,-6.54139,Total cattle,0.0
2000,Louth,53.94861,-6.54139,Dairy cows,0.0
2000,Louth,53.94861,-6.54139,Other cows,0.0
2000,Louth,53.94861,-6.54139,Total sheep,0.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),0.0
2000,Louth,53.94861,-6.54139,Total cattle,215.8
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,215.8
2000,Louth,53.94861,-6.54139,Total sheep,215.8
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),215.8
2000,Louth,53.94861,-6.54139,Total cattle,0.0
2000,Louth,53.94861,-6.54139,Dairy cows,0.0
2000,Louth,53.94861,-6.54139,Other cows,0.0
2000,Louth,53.94861,-6.54139,Total sheep,0.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),215.8
2000,Louth,53.94861,-6.54139,Total cattle,215.8
2000,Louth,53.94861,-6.54139,Dairy cows,0.0
2000,Louth,53.94861,-6.54139,Other cows,215.8
2000,Louth,53.94861,-6.54139,Total sheep,0.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),215.8
2000,Louth,53.94861,-6.54139,Total cattle,215.8
2000,Louth,53.94861,-6.54139,Dairy cows,0.0
2000,Louth,53.94861,-6.54139,Other cows,215.8
2000,Louth,53.94861,-6.54139,Total sheep,0.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),215.8
2000,Louth,53.94861,-6.54139,Total cattle,0.0
2000,Louth,53.94861,-6.54139,Dairy cows,0.0
2000,Louth,53.94861,-6.54139,Other cows,0.0
2000,Louth,53.94861,-6.54139,Total sheep,0.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),215.8
2000,Louth,53.94861,-6.54139,Total cattle,8963.0
2000,Louth,53.94861,-6.54139,Dairy cows,1466.0
2000,Louth,53.94861,-6.54139,Other cows,1038.0
2000,Louth,53.94861,-6.54139,Total sheep,5438.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),6627.3
2000,Louth,53.94861,-6.54139,Total cattle,0.0
2000,Louth,53.94861,-6.54139,Dairy cows,0.0
2000,Louth,53.94861,-6.54139,Other cows,0.0
2000,Louth,53.94861,-6.54139,Total sheep,0.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),0.0
2000,Carlow,53.94861,-6.54139,Total cattle,198.0
2000,Carlow,53.94861,-6.54139,Dairy cows,0.0
2000,Carlow,53.94861,-6.54139,Other cows,215.8
2000,Carlow,53.94861,-6.54139,Total sheep,0.0
2000,Carlow,53.94861,-6.54139,Livestock Units (LSU),131.4
2000,Louth,53.94861,-6.54139,Total cattle,3227.0
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,157.0
2000,Louth,53.94861,-6.54139,Total sheep,1016.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2405.9
2000,Louth,53.94861,-6.54139,Total cattle,2153.0
2000,Louth,53.94861,-6.54139,Dairy cows,247.0
2000,Louth,53.94861,-6.54139,Other cows,283.0
2000,Louth,53.94861,-6.54139,Total sheep,1615.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),1690.7
2000,Louth,53.94861,-6.54139,Total cattle,4191.0
2000,Louth,53.94861,-6.54139,Dairy cows,782.0
2000,Louth,53.94861,-6.54139,Other cows,672.0
2000,Louth,53.94861,-6.54139,Total sheep,2447.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2941.4
2000,Louth,53.94861,-6.54139,Total cattle,2407.0
2000,Louth,53.94861,-6.54139,Dairy cows,608.0
2000,Louth,53.94861,-6.54139,Other cows,310.0
2000,Louth,53.94861,-6.54139,Total sheep,4737.0
